StartDate,StartHour,Direction,Count_Events,Median_Minutes,Bottom_10__Minutes,Top_10__Minutes
2018-01-01,0,Zimbabwe-SA,9,5467,3277.2,5900.999999999999
2018-01-01,1,Zimbabwe-SA,2,135.5,125.5,145.5
2018-01-01,2,Zimbabwe-SA,0,NA,NA,NA
2018-01-01,3,Zimbabwe-SA,2,2385.5,578.7000000000004,4192.299999999999
2018-01-01,4,Zimbabwe-SA,1,2770,2770,2770
2018-01-01,5,Zimbabwe-SA,2,1342,458.8000000000002,2225.2
2018-01-01,6,Zimbabwe-SA,1,146,146,146
2018-01-01,7,Zimbabwe-SA,1,114,114,114
2018-01-01,8,Zimbabwe-SA,3,133,95.4,212.2
2018-01-01,9,Zimbabwe-SA,3,1260,337.5999999999999,2536
2018-01-01,10,Zimbabwe-SA,0,NA,NA,NA
2018-01-01,11,Zimbabwe-SA,4,175.5,146.9,849.5000000000001
2018-01-01,12,Zimbabwe-SA,8,2619,958.7000000000002,5260.5999999999995
2018-01-01,13,Zimbabwe-SA,2,100.5,83.30000000000001,117.7
2018-01-01,14,Zimbabwe-SA,10,883.5,221.7,4870.399999999999
2018-01-01,15,Zimbabwe-SA,2,134.5,134.1,134.9
2018-01-01,16,Zimbabwe-SA,1,622,622,622
2018-01-01,17,Zimbabwe-SA,0,NA,NA,NA
2018-01-01,18,Zimbabwe-SA,3,246,235.6,270.8
2018-01-01,19,Zimbabwe-SA,0,NA,NA,NA
2018-01-01,20,Zimbabwe-SA,0,NA,NA,NA
2018-01-01,21,Zimbabwe-SA,1,10060,10060,10060
2018-01-01,22,Zimbabwe-SA,0,NA,NA,NA
2018-01-01,23,Zimbabwe-SA,1,154,154,154
2018-01-02,0,Zimbabwe-SA,0,NA,NA,NA
2018-01-02,1,Zimbabwe-SA,4,128,99.3,207.1
2018-01-02,2,Zimbabwe-SA,1,240,240,240
2018-01-02,3,Zimbabwe-SA,0,NA,NA,NA
2018-01-02,4,Zimbabwe-SA,3,448,429.6,456
2018-01-02,5,Zimbabwe-SA,8,508,290.70000000000005,733.6
2018-01-02,6,Zimbabwe-SA,5,388,138.79999999999998,5822.7999999999965
2018-01-02,7,Zimbabwe-SA,3,386,312.4,514.8
2018-01-02,8,Zimbabwe-SA,3,248,213.6,249.6
2018-01-02,9,Zimbabwe-SA,3,1819,1740.6,4404.5999999999995
2018-01-02,10,Zimbabwe-SA,5,256,90.4,1320.1999999999994
2018-01-02,11,Zimbabwe-SA,5,1750,1645,9384.6
2018-01-02,12,Zimbabwe-SA,1,109,109,109
2018-01-02,13,Zimbabwe-SA,19,542,336,4501.4
2018-01-02,14,Zimbabwe-SA,10,1476,273,3276.2999999999993
2018-01-02,15,Zimbabwe-SA,5,222,189.6,1714.1999999999996
2018-01-02,16,Zimbabwe-SA,1,193,193,193
2018-01-02,17,Zimbabwe-SA,2,1905,601.0000000000002,3208.9999999999995
2018-01-02,18,Zimbabwe-SA,5,698,248.4,1949
2018-01-02,19,Zimbabwe-SA,1,292,292,292
2018-01-02,20,Zimbabwe-SA,0,NA,NA,NA
2018-01-02,21,Zimbabwe-SA,1,3893,3893,3893
2018-01-02,22,Zimbabwe-SA,0,NA,NA,NA
2018-01-02,23,Zimbabwe-SA,3,317,213,478.6
2018-01-03,0,Zimbabwe-SA,2,533.5,411.5,655.5
2018-01-03,1,Zimbabwe-SA,1,183,183,183
2018-01-03,2,Zimbabwe-SA,1,166,166,166
2018-01-03,3,Zimbabwe-SA,2,262,247.6,276.4
2018-01-03,4,Zimbabwe-SA,1,134,134,134
2018-01-03,5,Zimbabwe-SA,2,164.5,162.5,166.5
2018-01-03,6,Zimbabwe-SA,3,389,282.6,1111.4
2018-01-03,7,Zimbabwe-SA,10,482,246.1,1542.6
2018-01-03,8,Zimbabwe-SA,4,1538.5,633.4000000000001,1545.5
2018-01-03,9,Zimbabwe-SA,5,158,109,3857.199999999998
2018-01-03,10,Zimbabwe-SA,1,1010,1010,1010
2018-01-03,11,Zimbabwe-SA,9,431,242,998.6
2018-01-03,12,Zimbabwe-SA,2,223,207,239
2018-01-03,13,Zimbabwe-SA,11,556,279,1782
2018-01-03,14,Zimbabwe-SA,11,411,265,1701
2018-01-03,15,Zimbabwe-SA,5,2143,941.3999999999999,2169.8
2018-01-03,16,Zimbabwe-SA,3,696,574.4,1840.7999999999995
2018-01-03,17,Zimbabwe-SA,4,227.5,190.1,486.80000000000007
2018-01-03,18,Zimbabwe-SA,3,264,150.4,620
2018-01-03,19,Zimbabwe-SA,4,587,379.8,2221.5000000000005
2018-01-03,20,Zimbabwe-SA,0,NA,NA,NA
2018-01-03,21,Zimbabwe-SA,0,NA,NA,NA
2018-01-03,22,Zimbabwe-SA,2,281,222.6,339.4
2018-01-03,23,Zimbabwe-SA,1,411,411,411
2018-01-04,0,Zimbabwe-SA,0,NA,NA,NA
2018-01-04,1,Zimbabwe-SA,2,396,395.2,396.8
2018-01-04,2,Zimbabwe-SA,2,276.5,129.70000000000005,423.2999999999999
2018-01-04,3,Zimbabwe-SA,2,421,411.4,430.6
2018-01-04,4,Zimbabwe-SA,0,NA,NA,NA
2018-01-04,5,Zimbabwe-SA,3,124,92.8,127.2
2018-01-04,6,Zimbabwe-SA,2,349,141.80000000000004,556.1999999999999
2018-01-04,7,Zimbabwe-SA,2,1177,434.60000000000014,1919.4
2018-01-04,8,Zimbabwe-SA,2,1942.5,1427.7,2457.3
2018-01-04,9,Zimbabwe-SA,1,2937,2937,2937
2018-01-04,10,Zimbabwe-SA,0,NA,NA,NA
2018-01-04,11,Zimbabwe-SA,4,951.5,262.6,1823.8
2018-01-04,12,Zimbabwe-SA,6,242.5,144,2428
2018-01-04,13,Zimbabwe-SA,8,1582.5,595.7,2294.7999999999997
2018-01-04,14,Zimbabwe-SA,10,1562.5,352.2,4365.999999999999
2018-01-04,15,Zimbabwe-SA,6,532,218,1823
