Name,Tags,Date,Description,URL,Last edited by
Customs Strike at Beitbridge,"delay, strike","July 18, 2022",See if we can validate or verify this from EO,https://www.chronicle.co.zw/sa-customs-strike-cargo-keeps-piling-up-at-beitbridge/,Lauren Yee
Taxi Strike at Beitbridge Border,"delay, strike","August 23, 2022",,https://www.freightnews.co.za/article/wildcat-strike-stops-traffic-beitbridge,Lauren Yee
South Africa’s Power Cuts Hit Travel at Busy Zimbabwe Border,"delay, power outage","September 20, 2022",Passports could not be scanned at border,https://www.bloomberg.com/news/articles/2022-09-20/south-africa-s-power-cuts-hit-travel-at-busy-zimbabwe-border,Lauren Yee
4 truck drivers have died while queuing at the Beitbridge border post,"death, delay","December 15, 2020 → December 24, 2020","Long lines of trucks and other vehicles were queuing for 20km in both directions and truck drivers were taking up to nine days to cross - with no facilities and amenities to accommodate them along with thousands of others, the RFA said in a statement.",https://www.news24.com/news24/southafrica/news/4-truck-drivers-have-died-while-queuing-at-the-beitbridge-border-post-rfa-20201224,Lauren Yee
Brietbridge BCP,timeline,"January 1, 2018 → January 1, 2021",Time period to collect imagery and data,,Lauren Yee
Border Management Authority (BMA) Programme,security,"July 14, 2022 → April 1, 2023",Deployment of 200 border guards with the goal to facilitate legal cross-border movement and curb criminality around the border.,1: https://www.sabcnews.com/sabcnews/motsoaledi-to-launch-border-management-authority-programme-at-beit-bridge/     2: https://www.news24.com/news24/africa/news/beitbridge-border-post-zimbabwe-police-sa-guards-destroy-makeshift-smuggling-bridge-20220805,Chloe Papalazarou
"Special adviser to face disciplinary hearing over Beitbridge fence, says Patricia de Lille",security,"March 22, 2022",,https://www.iol.co.za/news/south-africa/limpopo/multiple-arrests-in-saps-and-zimbabwe-republic-police-joint-anti-crime-blitz-in-musina-and-beitbridge-8d037857-63d9-449b-8bd5-e2ae791c8c53,Lauren Yee
Large queues at Beitbridge due to immigration of 20 000+ people,delay,"December 24, 2022",,https://www.sabcnews.com/sabcnews/more-than-20-000-immigrants-cross-from-south-africa-into-zimbabwe-at-the-beitbridge-border-post/,Chloe Papalazarou
Large queues at Beitbridge,delay,"October 16, 2021 → October 18, 2021",Queues of 20km+ at Beitbridge. Wait times over 1 week. Reason for delays unclear. Blamed on slow electronic system and access fees at new commercial border,"https://www.youtube.com/watch?v=GjMup-SPqsg&lc=UgxcOhCvkxVlaUzh2AF4AaABAg&ab_channel=eNCA,             https://www.youtube.com/watch?v=CzEfcUmXQjU&ab_channel=eNCA,             https://www.youtube.com/watch?v=CfpKNI1NKp0&ab_channel=eNCA",Chloe Papalazarou
"Congestion due to technical difficulties, possible strike","delay, strike","November 8, 2022",Hundreds of travellers stuck at Beitbridge as SA Home Affairs system experienced challenges overnight.This meant that Immigration officers could not stamp passports and no travellers could enter or leave South Africa through Beitbridge Border Post.Some of buses which usually pass through the border during the night are still stuck here.We expect the situation to improve as the system is now back online and travellers are now being allowed through.Congestion may however take time to clear.,https://www.facebook.com/crossingbeitbridge/,Chloe Papalazarou
SARS (South Africa Revenue Service) Strike,"delay, strike","May 23, 2022 → May 26, 2022",Strike for wage increases. Possible delays as a result,https://www.youtube.com/watch?v=aQwasWzgsqc&ab_channel=SABCNews,Chloe Papalazarou
Congestion at Beitbridge border post,delay,"February 15, 2021","Congestion due to Covid19 lockdowns, many people illegally jumping the border. Many trucks lined up at the border post for days",https://www.enca.com/news/watch-congestion-beitbridge-border-post,Chloe Papalazarou
Estimated 6 weeks of delays at Beitbridge due to construction,"construction, delay, timeline","May 3, 2021 → June 21, 2021",,https://www.news24.com/fin24/economy/africa/beitbridge-upgrade-to-cause-six-weeks-of-delays-to-one-of-africas-busiest-border-posts-20210503,Chloe Papalazarou
Influx of travellers into SA to avoid Zimbabwe COVID movement restrictions,"covid-19, delay","January 18, 2021",Queues of people waiting for up to 4 days,http://www.seychellesnewsagency.com/articles/14205/Virus+hits+S.Africa+border+post%2C+compounds+delays,Chloe Papalazarou
"Potential delays due to elections ",elections,"July 30, 2021",Anticipated increase in human and vehicular traffic during the election period,https://nehandaradio.com/2018/07/30/zimra-ready-to-deal-with-elections-traffic/,Chloe Papalazarou
Delays due to strike/sit in,"delay, strike","June 30, 2018 → July 1, 2018","There was chaos at Beitbridge Border Post over the weekend after transporters, commonly known as Omalayitsha, staged a sit-in in defiance of the Zimbabwe Revenue Authority (Zimra)’s move to maximise duty collection on specified goods entering the country from South Africa.",https://nehandaradio.com/2018/07/03/chaos-rocks-at-beitbridge-border-post/,Chloe Papalazarou
Increased traffic over the holiday season,delay,"December 14, 2019 → January 7, 2020",,https://www.zimeye.net/2019/12/19/beitbridge-border-post-packed-as-zimbabweans-visit-loved-ones-for-christmas/.                   https://bulawayo24.com/index-id-news-sc-national-byo-152978.html,Chloe Papalazarou
Delays due to change in payment confirmation system for commercial vehicles,"delay, technology","March 10, 2019 → April 3, 2019",Clients said they started experiencing delays after the Zimbabwe Revenue Authority (Zimra) introduced a new model of confirming payments for several levies and duties on commercial cargo imports,https://www.chronicle.co.zw/concern-over-cargo-clearing-delays-at-beitbridge-border/,Chloe Papalazarou
Storm Damages Beitbridge border building,building damage,"January 11, 2019",Storm destroys part of the roof of a border post building that houses the arrivals section - potential for delays?,https://nehandaradio.com/2019/01/11/storm-damages-beitbridge-border-building/,Chloe Papalazarou
Technical failure affects processing of arrivals and departures,technology,"June 8, 2019",Possibility of delays,https://www.thestandard.co.zw/2019/06/09/chaos-beitbridge-system-collapse,Chloe Papalazarou
Staffing shortages at Zimbabwe immigration department,staff,"July 28, 2019",Possibility of delays,https://www.newzimbabwe.com/staff-shortages-hits-zim-immigration-dept/,Chloe Papalazarou
Planned demonstration at Beitbridge,strike,"February 7, 2019",Powerful South African labour federation COSATU will Wednesday stage a demonstration at the busy BeitBridge Border Post in protest over human rights violations by President Emmerson Mnangagwa's government.,https://allafrica.com/stories/201902060270.html,Chloe Papalazarou
